Id;Source;Target;person_id;exhibitor;exhibition_id;exhibition;year;name_from_catalogue;place_name
165;p_286;e_20;286;Amendola, G.;20;19. Jahresausstellung (Künstlerhaus);1890;Amendola, G.;Naples
166;p_287;e_2;287;Amerling, Friedrich von;2;2. Große Internationale Kunstausstellung (Künstlerhaus);1870;Amerling, Friedrich von;Vienna
167;p_287;e_4;287;Amerling, Friedrich von;4;4. Große Jahresausstellung (Künstlerhaus);1872;Amerling, Friedrich von;Vienna
168;p_287;e_6;287;Amerling, Friedrich von;6;6. Große Jahresausstellung (Künstlerhaus);1875;Amerling, Friedrich von;Vienna
169;p_287;e_7;287;Amerling, Friedrich von;7;7. Große Jahresausstellung (Künstlerhaus);1876;Amerling, Friedrich von;Vienna
170;p_287;e_18;287;Amerling, Friedrich von;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Amerling, Friedrich von;no value
171;p_288;e_14;288;Ameseder, Eduard;14;14. Jahresausstellung (Künstlerhaus);1884;Ameseder, Eduard;Vienna
172;p_288;e_15;288;Ameseder, Eduard;15;15. Jahresausstellung (Künstlerhaus);1885;Ameseder, Eduard;Vienna
173;p_288;e_18;288;Ameseder, Eduard;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Ameseder, Eduard;no value
174;p_288;e_19;288;Ameseder, Eduard;19;18. Jahresausstellung (Künstlerhaus);1889;Ameseder, Eduard;Karlsruhe
175;p_288;e_20;288;Ameseder, Eduard;20;19. Jahresausstellung (Künstlerhaus);1890;Ameseder, Eduard;Vienna
176;p_288;e_21;288;Ameseder, Eduard;21;20. Jahresausstellung (Künstlerhaus);1891;Ameseder, Eduard;Vienna
177;p_288;e_22;288;Ameseder, Eduard;22;21. Jahresausstellung (Künstlerhaus);1892;Ameseder, Eduard;Vienna
178;p_288;e_23;288;Ameseder, Eduard;23;22. Jahresausstellung (Künstlerhaus);1893;Ameseder, Eduard;Vienna
179;p_288;e_24;288;Ameseder, Eduard;24;23. Jahresausstellung (Künstlerhaus);1895;Ameseder, Eduard;Vienna
180;p_288;e_25;288;Ameseder, Eduard;25;24. Jahresausstellung (Künstlerhaus);1896;Ameseder, Eduard;Vienna
181;p_288;e_26;288;Ameseder, Eduard;26;25. Jahresausstellung (Künstlerhaus);1897;Ameseder, Eduard;Vienna
182;p_288;e_27;288;Ameseder, Eduard;27;Jubiläums-Kunstausstellung 1898 (Künstlerhaus);1898;Ameseder, Eduard;Vienna
183;p_288;e_28;288;Ameseder, Eduard;28;26. Jahresausstellung (Künstlerhaus);1899;Ameseder, Eduard;Vienna
184;p_288;e_29;288;Ameseder, Eduard;29;27. Jahresausstellung (Künstlerhaus);1900;Ameseder, Eduard;Vienna
185;p_289;e_28;289;Amort, Vilim;28;26. Jahresausstellung (Künstlerhaus);1899;Amort, Vilim;Prague
186;p_289;e_29;289;Amort, Vilim;29;27. Jahresausstellung (Künstlerhaus);1900;Amort, Vilim;Prague
187;p_189;e_18;189;Anastasio, Pietro;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Anastasio, Pierre;no value
188;p_190;e_14;190;Anders, Ernst;14;14. Jahresausstellung (Künstlerhaus);1884;Anders, Ernst;Düsseldorf
189;p_190;e_21;190;Anders, Ernst;21;20. Jahresausstellung (Künstlerhaus);1891;Anders, Ernst;Düsseldorf
190;p_191;e_11;191;Andersen-Lundby, Anders;11;11. Jahresausstellung (Künstlerhaus);1880;Andersen-Lundby, Anders;Antwerp
191;p_192;e_20;192;Andling, C. J.;20;19. Jahresausstellung (Künstlerhaus);1890;Andling, C. J.;Karlsruhe
192;p_193;e_19;193;Andorff, Paul;19;18. Jahresausstellung (Künstlerhaus);1889;Andorff, Paul;Hanau
193;p_193;e_21;193;Andorff, Paul;21;20. Jahresausstellung (Künstlerhaus);1891;Andorff, Paul;Hanau
194;p_193;e_22;193;Andorff, Paul;22;21. Jahresausstellung (Künstlerhaus);1892;Andorff, Paul;Hanau
195;p_194;e_1;194;Andreae, Tobias;1;1. Große Internationale Kunstausstellung (Künstlerhaus);1869;Andreae, F.;Munich
196;p_194;e_2;194;Andreae, Tobias;2;2. Große Internationale Kunstausstellung (Künstlerhaus);1870;Andreae, F.;Munich
197;p_194;e_3;194;Andreae, Tobias;3;3. Große Internationale Kunstausstellung (Künstlerhaus);1871;Andreae, Tobias;Munich
198;p_194;e_4;194;Andreae, Tobias;4;4. Große Jahresausstellung (Künstlerhaus);1872;Andreae, Tobias;Munich
199;p_195;e_14;195;Andreotti, Federigo;14;14. Jahresausstellung (Künstlerhaus);1884;Andreotti, Federigo;Florence
200;p_195;e_18;195;Andreotti, Federigo;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Andreotti, Federigo;no value
